2018/1/1;支出;100
2018/1/2;支出;110
2018/1/3;支出;120
2018/1/4;支出;130
2018/1/5;支出;140
2018/1/6;收入;150
2018/1/7;收入;160
2018/1/8;支出;170
2018/1/9;支出;180
2018/1/10;支出;190
2018/1/11;收入;200
2018/1/12;收入;210
2018/1/13;支出;220
2018/1/14;支出;230
2018/1/15;支出;240
2018/1/16;收入;250
2018/1/17;支出;260
2018/1/18;收入;270
2018/1/19;支出;280
2018/1/20;支出;290
2018/1/21;支出;300
2018/1/22;支出;310
2018/1/23;收入;320
2018/1/24;收入;330
2018/1/25;支出;340
2018/1/26;支出;350
2018/1/27;支出;360
2018/1/28;支出;370
2018/1/29;支出;380
2018/1/30;支出;390
2018/1/31;收入;400
2018/2/1;收入;410
2018/2/2;支出;420
2018/2/3;支出;430
2018/2/4;支出;440
2018/2/5;支出;450
2018/2/6;支出;460
2018/2/7;收入;470
2018/2/8;收入;480
2018/2/9;支出;490
2018/2/10;支出;500
2018/2/11;支出;510
2018/2/12;支出;520
2018/2/13;收入;530
2018/2/14;收入;540
2018/2/15;支出;550
2018/2/16;支出;560
2018/2/17;支出;570
2018/2/18;支出;580
2018/2/19;支出;590
